brand,smart_label
788c2fd7ba973489e6529275c01211db,brand1
f6601412b868a05c118961e9d7869bc8,brand2
,brand3
4e03e74099990e8529eb7e7328220af1,brand4
304979e999d95fc59d85cba5f1633595,brand5
a38b030516e52b6f126fb96c159aba25,brand6
4381fb749ac14947ba674d72e3e99943,brand7
88566ad89b50ab4d0b2d6bd785b2e46c,brand8
ae97ce2436a346a20300129ff7c637a4,brand9
e3732df80c5d78526ce033cb0a6bf98c,brand10
60911b4dbbed5feea938890a46ae07be,brand11
370c2d67b4ad305fba6dfa8a0942a427,brand12
6a2ebcaf65b75f0c1fd12b6bc4dcd03d,brand13
d141999a3cf396b48d34c066882990a4,brand14
50540322b7913b6360ba78b965629e5f,brand15
f675f01f455b506bd2a40efd5ed0113b,brand16
5fe558597892cf54bb7808980579209f,brand17
beb08832946d40381b21633615708a51,brand18
26e65f6bb72fc288e6c3d3d1645dc61b,brand19
2a389417a56710b61bc2b7e23c10c0f8,brand20
b495b9f28d668db6d6edf8cb9f623480,brand21
c23747fc72ef0d5c60a1a346bdf7eacf,brand22
e77b52c1f04e1b6d80991b8f99bcbd9f,brand23
5acbb7c608d83bb9c07602c8a75e5ab9,brand24
e5922811203a77e761f976862c48da1f,brand25
fd2a9cc586f58b940f74272279d0c387,brand26
c114d2a168b3418beef10646f5825ffe,brand27
7fcf6955d0db303d897b259fb17d7b71,brand28
